'F. contable';'F. valor';'Concepto';'Importe';'Saldo';'Seq';'Import num';'Saldo anterior';'Tiene fecha';'Fecha Valor Concepto';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
31/12/2005;31/12/2005;'AJUSTE INICIAL';1.978,70 €;1.978,70 €;-3478;1.978,70;6.502,79 €;'sin fechas';31/12/2005;'AJUSTE';'No computable';'Inicializacion';
02/01/2006;02/01/2006;'ONO';-71,06 €;1.907,64 €;-3477;-71,06;6.431,73 €;'sin fechas';02/01/2006;'ONO';'Gastos_Servicios tipicos';'Telecomunicaciones';'FIJO'
02/01/2006;02/01/2006;'REINT.CAJERO';-300,00 €;1.607,64 €;-3476;-300,00;6.131,73 €;'sin fechas';02/01/2006;'REINTCAJERO';'Gastos_Gastos varios';'Efectivo';'VARIABLES'
02/01/2006;02/01/2006;'REINT.CAJERO';-300,00 €;1.307,64 €;-3475;-300,00;5.831,73 €;'sin fechas';02/01/2006;'REINTCAJERO';'Gastos_Gastos varios';'Efectivo';'VARIABLES'
04/01/2006;04/01/2006;'AMENA RETEVISI';-28,72 €;1.278,92 €;-3474;-28,72;5.803,01 €;'sin fechas';04/01/2006;'AMENA';'Gastos_Servicios tipicos';'Telecomunicaciones';'FIJO'
05/01/2006;05/01/2006;'METRO';-6,65 €;1.272,27 €;-3473;-6,65;5.796,36 €;'sin fechas';05/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
06/01/2006;06/01/2006;'CONSUM';-5,73 €;1.266,54 €;-3472;-5,73;5.790,63 €;'sin fechas';06/01/2006;'CONSUM';'Gastos_Compras';'Supermercado';'VARIABLES'
06/01/2006;06/01/2006;'XARCUTERIA VIDAL';-18,90 €;1.247,64 €;-3471;-18,90;5.771,73 €;'sin fechas';06/01/2006;'XARCUTERIA';'Gastos_Compras';'Supermercado';'VARIABLES'
07/01/2006;07/01/2006;'RESTAURANTES';-38,70 €;1.208,94 €;-3470;-38,70;5.733,03 €;'sin fechas';07/01/2006;'RESTAURANTES';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
08/01/2006;08/01/2006;'RESTAURANTES';-58,58 €;1.150,36 €;-3469;-58,58;5.674,45 €;'sin fechas';08/01/2006;'RESTAURANTES';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
09/01/2006;09/01/2006;'CLSL BARCELONA ES';-22,00 €;1.128,36 €;-3468;-22,00;5.652,45 €;'sin fechas';09/01/2006;'CLSL';'Gastos_Compras';'Hogar';'VARIABLES'
09/01/2006;09/01/2006;'METRO';-6,65 €;1.121,71 €;-3467;-6,65;5.645,80 €;'sin fechas';09/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
09/01/2006;09/01/2006;'METRO';-6,40 €;1.115,31 €;-3466;-6,40;5.639,40 €;'sin fechas';09/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
10/01/2006;10/01/2006;'METRO';-6,65 €;1.108,66 €;-3465;-6,65;5.632,75 €;'sin fechas';10/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
11/01/2006;11/01/2006;'CINE';-9,80 €;1.098,86 €;-3464;-9,80;5.622,95 €;'sin fechas';11/01/2006;'CINE';'Gastos_Ocio y transporte';'Espectáculos';'VARIABLES'
12/01/2006;12/01/2006;'REINT.CAJERO';-20,00 €;1.078,86 €;-3463;-20,00;5.602,95 €;'sin fechas';12/01/2006;'REINTCAJERO';'Gastos_Gastos varios';'Efectivo';'VARIABLES'
13/01/2006;13/01/2006;'CAPRABO';-6,62 €;1.072,24 €;-3462;-6,62;5.596,33 €;'sin fechas';13/01/2006;'CAPRABO';'Gastos_Compras';'Supermercado';'VARIABLES'
16/01/2006;16/01/2006;'ENDESA DISTRIB';-19,45 €;1.052,79 €;-3461;-19,45;5.576,88 €;'sin fechas';16/01/2006;'ENDESA';'Gastos_Servicios tipicos';'Electricidad';'FIJO'
16/01/2006;16/01/2006;'METRO';-6,65 €;1.046,14 €;-3460;-6,65;5.570,23 €;'sin fechas';16/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
16/01/2006;16/01/2006;'METRO';-6,65 €;1.039,49 €;-3459;-6,65;5.563,58 €;'sin fechas';16/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
16/01/2006;16/01/2006;'SEG.AM.HIPITEC';-33,11 €;1.006,38 €;-3458;-33,11;5.530,47 €;'sin fechas';16/01/2006;'SEGAMHIPITEC';'Gastos_Seguros';'Seguro vida';'FIJO'
17/01/2006;17/01/2006;'METRO';-6,65 €;999,73 €;-3457;-6,65;5.523,82 €;'sin fechas';17/01/2006;'METRO';'Gastos_Ocio y transporte';'Transporte';'VARIABLES'
18/01/2006;18/01/2006;'ELECTRONICA WEB';-142,00 €;857,73 €;-3456;-142,00;5.381,82 €;'sin fechas';18/01/2006;'ELECTRONICA';'Gastos_Compras';'Hobbys';'VARIABLES'
18/01/2006;18/01/2006;'GROUPAMA PLUS';-42,60 €;815,13 €;-3455;-42,60;5.339,22 €;'sin fechas';18/01/2006;'GROUPAMA';'Gastos_Seguros';'Seguro salud';'FIJO'
19/01/2006;19/01/2006;'REINT.CAJERO';-20,00 €;795,13 €;-3454;-20,00;5.319,22 €;'sin fechas';19/01/2006;'REINTCAJERO';'Gastos_Gastos varios';'Efectivo';'VARIABLES'
