F. contable;F. valor;Concepto;Importe;Saldo anterior;Saldo;Seq;Import_num;Saldo anterior;Tiene fecha;Fecha Valor Concepto;Clave_Concepto;Categoria;Subcategoria;Mes_Valor_Concepto;Fijo_Variable
31/12/2015;31/12/2015;SALDO AÑO ANTERIOR;0,00;18380,33;18380,33;0;0,00;18380,33;2015-12-31;31/12/2015;SALDO;No computable;Inicializacion;12;
01/01/2016;29/12/2015;T/ AUTOPISTAS TERR;-1,39;18380,33;18378,94;8138;-1,39;18378,94;2015-12-29;29/12/2015;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;12;VARIABLES
01/01/2016;30/12/2015;T/ AUTOPISTAS TERR;-1,39;18378,94;18377,55;8139;-1,39;18377,55;2015-12-30;30/12/2015;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;12;VARIABLES
01/01/2016;30/12/2015;T/ AUTOPISTAS TERR;-1,39;18377,55;18376,16;8140;-1,39;18376,16;2015-12-30;30/12/2015;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;12;VARIABLES
01/01/2016;01/01/2016;T/ VIENA PARC VALLES \ 29-12-2015;-21,25;18376,16;18354,91;8141;-21,25;18354,91;2015-12-29;29/12/2015;VIENA;Gastos_Ocio y transporte;Restaurantes;12;VARIABLES
01/01/2016;01/01/2016;T/ MERCADONA PARC VAL\ 29-12-2015;-61,16;18354,91;18293,75;8142;-61,16;18293,75;2015-12-29;29/12/2015;MERCADONA;Gastos_Compras;Supermercado;12;VARIABLES
01/01/2016;01/01/2016;INT. 210560613010013266;0,90;18293,75;18294,65;8143;0,90;18294,65;2016-01-01;01/01/2016;INT;Ingresos;Rendimientos;1;
01/01/2016;01/01/2016;RET.REND.CAP.M;-0,18;18294,65;18294,47;8144;-0,18;18294,47;2016-01-01;01/01/2016;RETRENDCAPM;Gastos_Banco y organismos;Impuestos;1;FIJO
01/01/2016;01/01/2016;LIMPIEZA;-130,00;18294,47;18164,47;8145;-130,00;18164,47;2016-01-01;01/01/2016;LIMPIEZA;Gastos_Vivienda y vehiculo;Serv. domestico;1;FIJO
02/01/2016;02/01/2016;T/ LIDL TERRASSA LES \ 30-12-2015;-51,56;18164,47;18112,91;8146;-51,56;18112,91;2015-12-30;30/12/2015;LIDL;Gastos_Compras;Supermercado;12;VARIABLES
02/01/2016;02/01/2016;T/ SUPER.REYPA \TARRA 30-12-2015;-7,76;18112,91;18105,15;8147;-7,76;18105,15;2015-12-30;30/12/2015;SUPERREYPA;Gastos_Compras;Supermercado;12;VARIABLES
03/01/2016;03/01/2016;'T/ JOHN''S ITALIAN CAF\ 31-12-2015';-19,30;18105,15;18085,85;8148;-19,30;18085,85;2015-12-31;31/12/2015;JOHNS;Gastos_Ocio y transporte;Restaurantes;12;VARIABLES
03/01/2016;03/01/2016;T/ SR. FROS \ 31-12-2015;-15,10;18085,85;18070,75;8149;-15,10;18070,75;2015-12-31;31/12/2015;FROS;Gastos_Ocio y transporte;Restaurantes;12;VARIABLES
03/01/2016;03/01/2016;T/ MERCADONA - CUATRE\ 31-12-2015;-42,40;18070,75;18028,35;8150;-42,40;18028,35;2015-12-31;31/12/2015;MERCADONA;Gastos_Compras;Supermercado;12;VARIABLES
05/01/2016;31/12/2015;T/ AUTOPISTAS TERR;-1,39;18028,35;18026,96;8151;-1,39;18026,96;2015-12-31;31/12/2015;AUTOPISTAS;Gastos_Ocio y transporte;Parking y peaje;12;VARIABLES
06/01/2016;06/01/2016;R/ CEM - CENTRE DESCRIPCION;-97,50;18026,96;17929,46;8152;-97,50;17929,46;2016-01-06;06/01/2016;CEM;Gastos_Salud, saber y deporte;Estudios;1;VARIABLES
06/01/2016;06/01/2016;T/ ALABINA PIZZERIA \B 03-01-2016;-44,00;17929,46;17885,46;8153;-44,00;17885,46;2016-01-03;03/01/2016;ALABINA;Gastos_Ocio y transporte;Restaurantes;1;VARIABLES
07/01/2016;07/01/2016;R/ Serunion SA /FOR/ESCOLA SALA;-88,95;17885,46;17796,51;8154;-88,95;17796,51;2016-01-07;07/01/2016;SERUNION;Gastos_Salud, saber y deporte;Menjador;1;FIJO
07/01/2016;07/01/2016;R/ Serunion SA /FOR/ESCOLA SALA;-88,95;17796,51;17707,56;8155;-88,95;17707,56;2016-01-07;07/01/2016;SERUNION;Gastos_Salud, saber y deporte;Menjador;1;FIJO
