'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
05/10/2014;'WWW.JUST-EAT.ES';-21,15 €;'EUROS';'Compras.';'PAGADO';1;'WWWJUSTEATES';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
08/10/2014;'COPR.ALIMENTARIA';-89,59 €;'EUROS';'Compras.';'PAGADO';2;'COPRALIMENTARIA';'Gastos_Compras';'Supermercado';'VARIABLES'
28/10/2014;'CAFET.C T PRAT\PR';-3,35 €;'EUROS';'Compras.';'PAGADO';3;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
07/12/2014;'FARMA.M TERESA CO';-39,50 €;'EUROS';'Compras.';'PAGADO';4;'FARMAM';'Gastos_Salud, saber y deporte';'Farmacia';'VARIABLES'
15/12/2014;'CAFET.C T PRAT\PR';-2,70 €;'EUROS';'Compras.';'PAGADO';5;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
20/12/2014;'AZORALLOM S.L.';-3,15 €;'EUROS';'Compras.';'PAGADO';6;'AZORALLOM';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
22/12/2014;'BON AREA';-10,50 €;'EUROS';'Compras.';'PAGADO';7;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
23/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';8;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
23/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';9;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
23/12/2014;'CAPRABO - 427 TER';-9,06 €;'EUROS';'Compras.';'PAGADO';10;'CAPRABO';'Gastos_Compras';'Supermercado';'VARIABLES'
23/12/2014;'VIENA PARC VALLES';-11,45 €;'EUROS';'Compras.';'PAGADO';11;'VIENA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
23/12/2014;'MERCADONA PARC VA';-32,26 €;'EUROS';'Compras.';'PAGADO';12;'MERCADONA';'Gastos_Compras';'Supermercado';'VARIABLES'
24/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';13;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
24/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';14;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
24/12/2014;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';15;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
24/12/2014;'JUGUETILANDIA TER';-13,70 €;'EUROS';'Compras.';'PAGADO';16;'JUGUETILANDIA';'Gastos_Compras';'Niños';'VARIABLES'
24/12/2014;'CARREFOUR VALL\LE';-25,01 €;'EUROS';'Compras.';'PAGADO';17;'CARREFOUR';'Gastos_Compras';'Supermercado';'VARIABLES'
24/12/2014;'GLT STORE HOME';-31,05 €;'EUROS';'Compras.';'PAGADO';18;'GLT';'Gastos_Compras';'Otras compras';'VARIABLES'
24/12/2014;'MEDIA MARKT E2\PR';-49,99 €;'EUROS';'Compras.';'PAGADO';19;'MEDIA';'Gastos_Compras';'Hobbys';'VARIABLES'
26/12/2014;'AUTOPISTAS TERR';-2,53 €;'EUROS';'Compras.';'PAGADO';20;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
26/12/2014;'AUTOPISTAS TERR';-2,53 €;'EUROS';'Compras.';'PAGADO';21;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
27/12/2014;'FARMA.ANGEL MOREN';-3,76 €;'EUROS';'Compras.';'PAGADO';22;'FARMAANGEL';'Gastos_Salud, saber y deporte';'Farmacia';'VARIABLES'
27/12/2014;'SUPER.REYPA \TAR';-7,99 €;'EUROS';'Compras.';'PAGADO';23;'SUPERREYPA';'Gastos_Compras';'Supermercado';'VARIABLES'
27/12/2014;'BON AREA';-30,24 €;'EUROS';'Compras.';'PAGADO';24;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
28/12/2014;'CARREFOUR VALL\LE';13,85 €;'EUROS';'Devolucion de Compras.';'PAGADO';25;'CARREFOUR';'Gastos_Compras';'Supermercado';'VARIABLES'
28/12/2014;'CARREFOUR VALL\LE';-31,96 €;'EUROS';'Compras.';'PAGADO';26;'CARREFOUR';'Gastos_Compras';'Supermercado';'VARIABLES'
28/12/2014;'CARREFOUR VALL\LE';-51,99 €;'EUROS';'Compras.';'PAGADO';27;'CARREFOUR';'Gastos_Compras';'Supermercado';'VARIABLES'
28/12/2014;'REST.CASA JUAN\MO';-55,80 €;'EUROS';'Compras.';'PAGADO';28;'RESTCASA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
29/12/2014;'CAFET.C T PRAT\PR';-0,90 €;'EUROS';'Compras.';'PAGADO';29;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
29/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';30;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
29/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';31;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
29/12/2014;'CAFET.C T PRAT\PR';-3,00 €;'EUROS';'Compras.';'PAGADO';32;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
29/12/2014;'VIENA PARC VALLES';-11,35 €;'EUROS';'Compras.';'PAGADO';33;'VIENA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
29/12/2014;'AMC PARC VALLES';-22,80 €;'EUROS';'Compras.';'PAGADO';34;'AMC';'Gastos_Ocio y transporte';'Espectáculos';'VARIABLES'
30/12/2014;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';35;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
30/12/2014;'TABASA VALLVI S. C:2T';-4,19 €;'EUROS';'Compras.';'PAGADO';36;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
30/12/2014;'E.S. RUBI II';-43,44 €;'EUROS';'Compras.';'PAGADO';37;'RUBI';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
15/02/2015;'SONY ENT NETWORK';-49,99 €;'EUROS';'Compras.';'PAGADO';38;'SONY';'Gastos_Servicios tipicos';'Servicios online';'FIJO'
26/02/2015;'A* CUOTA TARJETA PRINCIPAL';-33,00 €;'EUROS';'Comision de Emision, Mantenimiento o Renovacion.';'PAGADO';39;'CUOTA';'Gastos_Banco y organismos';'Cargos banco';'FIJO'
20/03/2015;'CAFET.C T PRAT\PR';-1,20 €;'EUROS';'Compras.';'PAGADO';40;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
20/03/2015;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';41;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
20/03/2015;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';42;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
20/03/2015;'CAFET.C T PRAT\PR';-4,10 €;'EUROS';'Compras.';'PAGADO';43;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
20/03/2015;'BON AREA';-10,54 €;'EUROS';'Compras.';'PAGADO';44;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
24/03/2015;'AUTOPISTAS TERR';-1,39 €;'EUROS';'Compras.';'PAGADO';45;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
24/03/2015;'PETROSABA S.L.\VI';-40,90 €;'EUROS';'Compras.';'PAGADO';46;'PETROSABA';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
24/03/2015;'CERTIO ITV VIL\VI';-45,30 €;'EUROS';'Compras.';'PAGADO';47;'CERTIO';'Gastos_Vivienda y vehiculo';'Mnto. vehiculo';'VARIABLE'
